City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,bambous virieux,-20.3428,57.7575,27.34,78,40,7.72,MU,1675784799
174,lebu,-37.6167,-73.65,18.3,65,0,8.02,CL,1675784262
175,touros,-5.1989,-35.4608,30.52,51,70,7.43,BR,1675784802
176,karratha,-20.7377,116.8463,30.78,58,26,3.95,AU,1675784281
177,batemans bay,-35.7167,150.1833,19.5,92,100,2.09,AU,1675784788
178,rio gallegos,-51.6226,-69.2181,19.03,42,20,3.09,AR,1675784272
179,ancud,-41.8697,-73.8203,17.09,66,1,2.62,CL,1675784269
180,kuytun,54.3419,101.5036,-21.93,100,100,1.34,RU,1675784804
181,batagay-alyta,67.8006,130.4114,-38.12,99,97,0.99,RU,1675784805
182,partizanskoye,55.5006,94.39,-7.12,93,100,2.44,RU,1675784805
183,faanui,-16.4833,-151.75,26.46,79,29,5.28,PF,1675784291
184,georgetown,5.4112,100.3354,24.28,86,99,3.34,MY,1675784634
185,caucaia,-3.7361,-38.6531,27.97,84,75,4.12,BR,1675784807
186,constitucion,-35.3333,-72.4167,21.97,53,2,1.7,CL,1675784807
187,awbari,26.5921,12.7805,20.51,24,100,6.12,LY,1675784808
188,atbasar,51.8,68.3333,-18.04,99,83,1.06,KZ,1675784809
189,reconquista,-29.15,-59.65,39.43,13,0,1.47,AR,1675784809
190,fortuna,40.5982,-124.1573,5.52,97,0,2.68,US,1675784316
191,ucluelet,48.9329,-125.5528,9.49,94,100,1.79,CA,1675784810
192,viedma,-40.8135,-62.9967,32.86,22,0,2.03,AR,1675784811
193,alofi,-19.0595,-169.9187,23.94,94,100,3.09,NU,1675784700
194,nanortalik,60.1432,-45.2371,-14.37,68,7,11.18,GL,1675784811
195,longyearbyen,78.2186,15.6401,-5.09,80,100,18.52,SJ,1675784693
196,sao desiderio,-12.3633,-44.9733,32.1,39,100,2.91,BR,1675784813
197,tessalit,20.1986,1.0114,31.78,9,100,6.9,ML,1675784813
198,shelburne,44.0787,-80.2041,1.25,93,72,9.79,CA,1675784814
199,east london,-33.0153,27.9116,23.52,94,40,3.6,ZA,1675784815
200,wasilla,61.5814,-149.4394,-6.26,83,0,5.66,US,1675784533
201,kandrian,-6.2167,149.55,25.59,91,100,5.93,PG,1675784816
202,guerrero negro,27.9769,-114.0611,15.45,33,6,4.0,MX,1675784817
203,high rock,26.6208,-78.2833,22.01,61,6,7.24,BS,1675784817
204,desaguadero,-16.5656,-69.0417,7.12,84,100,1.72,PE,1675784819
205,puerto maldonado,-12.6,-69.1833,25.22,88,75,1.54,PE,1675784819
206,umm kaddadah,13.6017,26.6876,24.65,15,12,8.46,SD,1675784820
207,nyurba,63.2842,118.3319,-39.61,100,100,0.48,RU,1675784821
208,maceio,-9.6658,-35.7353,30.69,48,40,5.14,BR,1675784502
209,nevelsk,46.6733,141.8633,-7.88,69,100,1.98,RU,1675784826
210,northam,51.0333,-4.2167,8.47,74,8,1.55,GB,1675784831
211,kadoma,34.7333,135.5833,9.99,66,27,2.57,JP,1675784836
212,makakilo city,21.3469,-158.0858,23.18,75,0,8.23,US,1675784838
213,bethel,41.3712,-73.414,2.23,43,0,2.06,US,1675784617
214,ahipara,-35.1667,173.1667,18.16,76,96,2.1,NZ,1675784747
215,chickasha,35.0526,-97.9364,7.17,70,100,6.69,US,1675784858
216,san-pedro,4.7485,-6.6363,28.87,69,100,5.29,CI,1675784859
217,sao gabriel da cachoeira,-0.1303,-67.0892,26.89,83,100,0.51,BR,1675784859
218,sao felix do xingu,-6.6447,-51.995,27.7,87,66,1.51,BR,1675784848
219,jalu,29.0331,21.5482,14.75,42,61,4.15,LY,1675784667
220,santa quiteria,-4.3319,-40.1567,32.0,46,81,1.75,BR,1675784754
221,havelock,34.8791,-76.9013,12.99,67,0,2.57,US,1675784861
222,riyadh,24.6877,46.7219,23.08,29,86,5.23,SA,1675784862
223,stromness,58.965,-3.296,7.15,76,24,3.13,GB,1675784862
224,jacqueville,5.2052,-4.4146,27.41,79,70,5.58,CI,1675784801
225,cuamba,-14.8031,36.5372,22.15,92,100,1.07,MZ,1675784864
226,husavik,66.0449,-17.3389,-2.12,68,95,14.58,IS,1675784865
227,ola,59.5833,151.2833,-29.64,86,75,3.88,RU,1675784867
228,san quintin,30.4833,-115.95,14.81,39,0,1.01,MX,1675784817
229,sola,-13.8833,167.55,27.72,74,95,5.13,VU,1675784868
230,pitimbu,-7.4706,-34.8086,31.33,64,100,6.76,BR,1675784868
231,kunming,25.0389,102.7183,11.96,47,0,7.0,CN,1675784736
232,neiafu,-18.65,-173.9833,23.38,94,100,0.0,TO,1675784869
233,sao joao da barra,-21.6403,-41.0511,31.05,76,98,2.77,BR,1675784870
234,santa maria del oro,25.9333,-105.3667,14.13,32,62,1.84,MX,1675784661
235,sitges,41.2351,1.8119,11.26,90,100,5.81,ES,1675784592
236,monrovia,6.3005,-10.7969,30.87,73,56,5.42,LR,1675784637
237,vestmannaeyjar,63.4427,-20.2734,-0.45,93,75,11.32,IS,1675784872
238,victoria,22.2855,114.1577,21.03,90,37,4.92,HK,1675784595
239,saint george,37.1041,-113.5841,2.92,80,0,0.0,US,1675784633
240,kirkuk,35.4681,44.3922,8.74,71,97,3.82,IQ,1675784604
241,chabahar,25.2919,60.643,22.72,63,3,3.59,IR,1675784874
242,sikonge,-5.6333,32.7667,20.39,86,83,1.5,TZ,1675784874
243,chernyshevskiy,63.0128,112.4714,-42.34,100,100,0.48,RU,1675784875
244,mar del plata,-38.0023,-57.5575,24.41,85,100,6.26,AR,1675784648
245,sukhumi,43.0033,41.0153,4.67,88,100,4.0,GE,1675784876
246,port lincoln,-34.7333,135.8667,17.71,81,0,6.16,AU,1675784877
247,tucurui,-3.7661,-49.6725,24.17,93,100,1.11,BR,1675784878
248,katobu,-4.9408,122.5276,24.85,84,90,0.86,ID,1675784878
249,tegal,-6.8694,109.1402,25.64,87,100,3.27,ID,1675784878
250,abha,18.2164,42.5053,18.9,55,0,4.12,SA,1675784734
251,provideniya,64.3833,-173.3,-25.85,92,78,1.62,RU,1675784879
252,altamira,-3.2033,-52.2064,23.05,100,100,1.03,BR,1675784880
253,karitsa,40.1875,22.4819,4.34,52,80,1.56,GR,1675784880
254,codrington,-38.2667,141.9667,12.79,85,50,4.17,AU,1675784881
255,huangpi,30.8845,114.3779,9.06,87,100,1.0,CN,1675784882
256,whitehorse,60.7161,-135.0538,-6.57,79,75,7.72,CA,1675784736
257,tenosique,17.4833,-91.4333,25.88,65,7,5.82,MX,1675784834
258,cedeno,7.0464,-72.1634,27.36,55,96,1.43,CO,1675784905
259,kovdor,67.5662,30.4758,2.48,89,100,7.46,RU,1675784908
260,mongagua,-24.0931,-46.6208,28.79,74,85,2.73,BR,1675784913
261,eureka,40.8021,-124.1637,5.93,99,100,2.3,US,1675784916
262,trincomalee,8.5711,81.2335,26.21,83,24,4.32,LK,1675784917
263,beringovskiy,63.05,179.3167,-27.56,95,100,3.39,RU,1675784917
264,biharamulo,-2.6319,31.3089,19.9,71,89,0.67,TZ,1675784918
265,praya,14.9215,-23.5087,24.3,46,20,12.86,CV,1675784855
266,boshnyakovo,49.6333,142.1667,-15.98,97,100,2.0,RU,1675784920
267,totness,5.8833,-56.3167,26.11,85,67,4.78,SR,1675784920
268,jiuquan,39.7432,98.5174,-2.52,49,97,2.23,CN,1675784921
269,punahana,27.8667,77.2,16.03,46,0,3.21,IN,1675784922
270,srednekolymsk,67.45,153.6833,-33.59,97,100,2.31,RU,1675784699
271,xinxiang,35.3089,113.8672,6.84,53,100,2.18,CN,1675784923
272,bardiyah,31.7561,25.0865,12.15,61,52,3.6,LY,1675784924
273,birao,10.2849,22.7882,34.5,8,25,3.9,CF,1675784924
274,tura,25.5198,90.2201,16.18,45,0,1.28,IN,1675784925
275,mujiayingzi,42.1167,118.7833,-7.29,67,5,1.62,CN,1675784926
276,pringsewu,-5.3582,104.9744,23.64,97,100,0.8,ID,1675784926
277,lompoc,34.6391,-120.4579,6.44,93,0,3.6,US,1675784895
278,zhuhai,22.2769,113.5678,22.14,88,40,1.54,CN,1675784928
279,marsabit,2.3284,37.9899,24.51,31,31,2.83,KE,1675784929
280,peniche,39.3558,-9.3811,15.52,60,1,6.26,PT,1675784902
281,cody,44.5263,-109.0565,3.12,44,0,9.26,US,1675784736
282,sarangani,5.4033,125.4636,26.69,79,100,7.06,PH,1675784930
283,baykit,61.67,96.37,-18.33,99,100,0.71,RU,1675784891
284,radomsko,51.0671,19.4448,-1.38,86,100,2.69,PL,1675784931
285,villamontes,-21.25,-63.5,27.69,78,100,0.0,BO,1675784932
286,ndjole,-0.1783,10.7649,28.62,72,81,2.03,GA,1675784932
287,santa rosa,14.3122,121.1114,26.99,79,51,3.82,PH,1675784934
288,kostivere,59.427,25.0962,0.99,83,100,5.66,EE,1675784934
289,singaraja,-8.112,115.0882,26.09,84,100,3.02,ID,1675784935
290,ust-nera,64.5667,143.2,-40.09,100,96,0.53,RU,1675784935
291,zyryanka,65.75,150.85,-36.49,100,98,2.21,RU,1675784936
292,montepuez,-13.1256,38.9997,21.83,95,100,1.73,MZ,1675784937
293,mosquera,4.7059,-74.2302,17.05,63,20,2.06,CO,1675784937
294,coquimbo,-29.9533,-71.3436,19.85,77,40,4.12,CL,1675784938
295,sakaiminato,35.55,133.2333,3.99,100,75,2.57,JP,1675784938
296,nemuro,43.3236,145.575,-4.23,91,95,2.51,JP,1675784939
297,wells,51.2079,-2.649,8.86,76,1,0.87,GB,1675784940
298,meulaboh,4.1363,96.1285,25.61,79,93,1.51,ID,1675784940
299,awjilah,29.1081,21.2869,14.89,42,90,3.97,LY,1675784941
300,shaowu,27.3409,117.4831,13.1,96,100,0.5,CN,1675784942
301,korla,41.7597,86.1469,0.33,75,100,0.97,CN,1675784950
302,jintur,19.6167,76.7,24.16,26,39,3.31,IN,1675784952
303,gostyn,51.8825,17.0123,0.59,72,25,0.92,PL,1675784953
304,cabra,37.4725,-4.4421,9.0,82,100,1.54,ES,1675784853
305,malpe,13.35,74.7167,26.61,76,44,3.15,IN,1675784959
306,amberley,39.2048,-84.428,12.97,55,20,3.6,US,1675784974
307,olbia,40.9214,9.4856,10.03,57,40,4.63,IT,1675784974
308,moree,-29.4667,149.85,24.77,51,31,7.26,AU,1675784975
309,broome,42.2506,-75.833,3.03,69,100,5.81,US,1675784977
310,cap malheureux,-19.9842,57.6142,27.48,76,21,3.58,MU,1675784978
311,placido de castro,-10.3353,-67.1856,31.67,54,86,1.75,BR,1675784978
312,esna,25.2934,32.554,16.01,28,100,4.65,EG,1675784979
313,bosaso,11.2842,49.1816,24.32,77,23,2.72,SO,1675784980
314,kokopo,-4.352,152.2633,25.31,86,100,2.88,PG,1675784980
315,fare,-16.7,-151.0167,26.46,78,23,5.1,PF,1675784981
316,saint-joseph,-21.3667,55.6167,27.21,82,65,5.97,RE,1675784982
317,abasha,42.2096,42.2211,2.12,78,100,3.8,GE,1675784983
318,tuatapere,-46.1333,167.6833,10.76,80,84,4.59,NZ,1675784748
319,talnakh,69.4865,88.3972,-21.16,98,98,2.71,RU,1675784984
320,nieuw nickerie,5.95,-56.9833,25.86,85,78,4.92,SR,1675784984
321,belaya gora,68.5333,146.4167,-41.9,100,98,0.35,RU,1675784693
322,kaimganj,27.5667,79.35,17.4,52,0,3.85,IN,1675784985
323,paita,-5.0892,-81.1144,27.16,63,16,3.92,PE,1675784986
324,pemex,18.4395,-96.3461,25.17,66,1,1.42,MX,1675784987
325,kieta,-6.2167,155.6333,25.87,87,99,1.84,PG,1675784697
326,ixtapa,20.7,-105.2,16.57,77,20,0.0,MX,1675784764
327,pijijiapan,15.7011,-93.23,31.97,34,3,1.63,MX,1675784988
328,hovd,48.0056,91.6419,-17.06,86,13,1.14,MN,1675784989
329,pacific grove,36.6177,-121.9166,8.69,81,0,3.09,US,1675784662
330,nador,35.174,-2.9287,15.14,72,75,5.66,MA,1675784990
331,fort nelson,58.8053,-122.7002,-13.92,94,20,1.03,CA,1675784689
332,sidi ali,36.0998,0.4206,12.42,65,74,5.34,DZ,1675784991
333,bonavista,48.6499,-53.1147,-4.33,62,100,8.51,CA,1675784991
334,phan thiet,10.9333,108.1,23.03,91,59,2.78,VN,1675784993
335,naze,28.3667,129.4833,16.51,79,39,5.8,JP,1675784889
336,urengoy,65.9667,78.3667,-30.57,100,87,2.38,RU,1675784994
337,okha,53.5739,142.9478,-29.86,100,80,2.17,RU,1675784995
338,lundazi,-12.2929,33.1782,19.47,92,99,2.49,ZM,1675784996
339,wamba,8.9333,8.6,37.04,7,93,3.67,NG,1675784996
340,cerrito,6.8432,-72.694,19.65,41,35,0.73,CO,1675784997
341,petropavlovsk-kamchatskiy,53.0452,158.6483,-18.46,78,0,2.0,RU,1675784926
342,shepsi,44.0361,39.1489,0.34,80,100,9.12,RU,1675784998
343,gizo,-8.103,156.8419,27.75,79,100,4.93,SB,1675784998
344,seymchan,62.8833,152.4333,-32.94,98,100,0.9,RU,1675784999
345,camacha,33.0833,-16.3333,14.68,63,40,8.75,PT,1675784707
346,airai,-8.9266,125.4092,16.47,92,72,0.89,TL,1675784622
347,hamina,60.5697,27.1979,1.6,92,100,5.96,FI,1675785000
348,huron,41.1501,-82.5499,9.95,67,100,9.47,US,1675785001
349,okhotsk,59.3833,143.3,-24.11,88,99,4.26,RU,1675785003
350,lekoni,-1.5843,14.2591,30.84,43,80,3.05,GA,1675785004
351,gravdal,68.1214,13.5031,3.94,81,75,8.75,NO,1675785006
352,avera,33.194,-82.5271,16.03,52,59,3.24,US,1675785007
353,hondo,32.45,130.2,10.98,77,75,3.94,JP,1675785007
354,san francisco,37.7749,-122.4194,9.58,86,20,1.54,US,1675784561
355,peleduy,59.6289,112.7406,-21.7,100,100,1.05,RU,1675784961
356,labuhan,-6.8844,112.2051,24.9,91,100,3.35,ID,1675784715
357,hirado,33.3597,129.5531,10.88,64,6,7.15,JP,1675785009
358,alencon,48.4333,0.0833,4.32,60,0,3.85,FR,1675785010
359,kampot,10.6167,104.1833,24.03,75,52,2.45,KH,1675785010
360,bowen,-20.0167,148.2333,26.74,84,91,7.53,AU,1675784813
361,luba,3.4568,8.5547,31.94,78,67,2.78,GQ,1675785013
362,mbigou,-1.9005,11.906,25.13,75,40,1.96,GA,1675785013
363,medea,36.2642,2.7539,10.01,48,46,3.58,DZ,1675785014
364,gat,31.61,34.7642,11.38,100,95,8.93,IL,1675785015
365,juazeiro,-9.4117,-40.4986,31.1,45,20,4.63,BR,1675784413
